id,artisanName,address,city,phone,email,website,category,region,county
1,Ford's Gourmet Foods,1109 Agriculture St Ste 1,Raleigh,919-833-7647,sales@bonesuckin.com,http://bonesuckin.com/,Condiments,Piedmont,Wake
2,Mackey's Ferry Peanuts,30871 US-64,Jamesville,888-637-6887,,https://www.mfpnuts.com,Snacks,Coastal Plains,Martin
3,Fisherman Creations,1175 Hwy 70 E Otway,Beaufort,252-729-0301,info@crabpottrees.com,https://crabpottrees.com/index.php,Art,Tidewater,Carteret
4,Cheesecakes by Alex,315 S Elm St,Greensboro,336-273-0970,alex@cheesecakesbyalex.com,http://www.cheesecakesbyalex.com/,Sweets,Piedmont,Guilford
5,"Mt. Olive Pickle Company, Inc.",PO Box 609,Mount Olive,800-672-5041,,https://www.mtolivepickles.com/,Snacks,Coastal Plains,Wayne
6,Videri Chocolate Factory,327 W Davie St,Raleigh,919-755-5053,,http://viderichocolatefactory.com/,Sweets,Piedmont,Wake
7,Annelore's German Bakery,,Morrisville,919-294-8040,Hello@AnneloresBakery.com,https://anneloresbakery.com/,Bakery,Piedmont,Wake
8,"AC's Yummy Jerky, LLC",1884 Old Wilkesboro Rd,Statesville,704-871-1771,,http://acyummybeefjerky.com/,Snacks,Piedmont,Iredell
9,Joe's Beef Jerky,122 Cashion Farm Rd,Statesville,704-528-4717,joe@joesbeefjerky.com,http://www.joesbeefjerky.com/,Snacks,Piedmont,Iredell
10,Uncle Zip's Beef Jerky,5457 Trade St,Hope Mills,910-423-7329,,http://www.unclezipsjerky.com/,Snacks,Coastal Plains,Cumberland
11,Exec Socks,,Raleigh,424-247-6257,contact@execsocks.com,https://execsocks.com/,Textiles,Piedmont,Wake
12,House of Swank,315 S Bloodworth St,Raleigh,919-413-7339,,http://www.houseofswankclothing.com/,Textiles,Piedmont,Wake
13,Lily Leaf Soaps,350 Creekview Dr,Kernersville,336-784-5396,,,Health & Beauty,Piedmont,Forsyth
14,Chad's Chai,732 N Trade St,Winston-Salem,336-293-4698,,https://chadschai.com/,Other Beverages,Piedmont,Forsyth
15,FarmGirl Arts,,,336-971-3834,farmgirlarts@gmail.com,http://farmgirlarts.com/,Art,Piedmont,Forsyth
16,Krankies,211 E 3rd St,Winston-Salem,336-722-3016,,https://www.krankiescoffee.com/,Coffee,Piedmont,Forsyth
17,Lavender and Honey Kitchen,,Winston-Salem,336-416-2658,,https://www.lavenderandhoneykitchen.com/,Bakery,Piedmont,Forsyth
18,Lil Sarah's Bee Farm,Holly Berry Ln,Tobaccoville,336-575-2341,,,Condiments,Piedmont,Forsyth
19,Niki's Pickles,"612 E Main St, Ste A",Pilot Mountain,336-480-8791,,,Snacks,Mountains,Surry
20,Sophisticated Florals by Stephanie,816 Burke St,Winston-Salem,,,https://www.sophisticatedfloralsbystephanie.com/,Flowers,Piedmont,Forsyth
21,UpDog Kombucha,,Winston-Salem,201-787-5421,,https://updogkombucha.com/,Other Beverages,Piedmont,Forsyth
22,Village Juice Co.,205-O S Stratford St,Winston-Salem,336-986-9402,villagejuice@gmail.com,https://www.villagejuicecompany.com/,Other Beverages,Piedmont,Forsyth
23,Furbaby Wear by Mz. Juicy,,Raleigh,919-395-5097,,,Pets,Piedmont,Wake
24,"Buffalo Creek Farm and Creamery, LLC",3241 Buffalo Creek Farm Rd,Germantown,336-969-5698,robin@buffalocreekfarmnc.com,http://buffalocreekfarmandcreamery.com/,Dairy,Piedmont,Forsyth
25,Allvecia Soap Company,,Raleigh,919-885-2797,allvecia@nc.rr.com,http://allveciasoap.com/,Health & Beauty,Piedmont,Wake
26,Bander Works,,Raleigh,,,,Art,Piedmont,Wake
27,Cold off the Press,416-100 W South St,Raleigh,984-444-9006,info@coldoffthepress.com,https://www.coldoffthepress.com/,Other Beverages,Piedmont,Wake
28,Crown Jules Clothing,,Raleigh,,julie@crownjulesclothing.com,http://crownjulesclothing.com/crownjules/Default.html,Textiles,Piedmont,Wake
29,Fork + Spoon Fresh Pasta,,Cary,317-408-6468,,,Bakery,Piedmont,Wake
30,Good Grace's Dog Treats,,Cary,919-816-7885,,https://www.goodgracestreats.com/,Pets,Piedmont,Wake
31,knish-a-licious,,Raleigh,919-473-6080,jamie@knish-a-licious.com,http://www.knish-a-licious.com/,Bakery,Piedmont,Wake
32,Lovegrass Kitchen,5305 Hilltop Needmore Rd,Fuquay-Varina,919-234-7541,info@lovegrasskitchen.com,https://www.lovegrasskitchen.com/,Snacks,Piedmont,Wake
33,Michael's English Muffins,3611 Spring Forest Rd Ste 114,Raleigh,919-615-0319,michaelsenglishmuffins@gmail.com,http://michaelsenglishmuffins.com/,Bakery,Piedmont,Wake
34,Melina's Fresh Pasta,2717 Chapel Hill Rd,Durham,919-403-3663,,http://www.melinaspasta.com/,Bakery,Piedmont,Durham
35,Oak City Coffee Roasters,615 W Hargett St,Raleigh,919-623-5223,oakcityroasters@gmail.com,https://oakcityroasters.com/,Coffee,Piedmont,Wake
36,Olive + Lou,,Raleigh,,help@oliveandlou.com,https://www.oliveandlou.com/,Textiles,Piedmont,Wake
37,Krispy Kreme,PO Box 83,Winston-Salem,800-457-4779,krispykreme@casupport.com,https://www.krispykreme.com,Sweets,Piedmont,Wake
38,Prodigal Farm,4720 Bahama Rd,Rougemont,919-477-5653,info@prodigalfarm.com,http://prodigalfarm.com/,Dairy,Piedmont,Durham
39,Stager's Roses,722 Manchester Dr,Raleigh,919-785-1756,,,Flowers,Piedmont,Wake
40,Le Bleu,3134 Cornatzer Rd,Advance,336-998-2894,,https://www.lebleu.com,Other Beverages,Piedmont,Davie
41,The Pleasant Bee,3126 Hillsborough St #1,Raleigh,919-696-3722,info@thepleasantbee.com,http://thepleasantbee.com/,Condiments,Piedmont,Wake
42,The Vintage Bee,,Raleigh,,thevintagebee@yahoo.com,,Jewelry,Piedmont,Wake
43,Carolina Beverage Corporation,1413 Jake Alexander Blvd S,Salisbury,704-637-5881,,https://www.cheerwine.com,Other Beverages,Piedmont,Rowan
44,Wicked and Woven,,Raleigh,,,https://www.wickedandwoven.com/,Home,Piedmont,Wake
45,Yellow Dog Bread Company,219 E Franklin St,Raleigh,984-232-0291,,,Bakery,Piedmont,Wake
46,Zulia Bakery,,Raleigh,919-459-7204,,http://www.zuliabakery.com/,Bakery,Piedmont,Wake
47,Carolina Goat Milk Soap,6301 Dry Fork Ln,Raleigh,919-741-9238,carolinagoatmilksoap@gmail.com,,Health & Beauty,Piedmont,Wake
48,Big Boss Brewing,1249 Wicker Dr,Raleigh,919-834-0045,info@bigbossbrewing.com,https://www.bigbossbrewing.com/,Beer,Piedmont,Wake
49,Botanist and Barrel,105 Persimmon Hill Ln,Cedar Grove,919-593-4715,botanistandbarrel@gmail.com,https://www.botanistandbarrel.com/,Wine,Piedmont,Orange
50,Cabarrus Brewing Company,329 McGill Ave NW,Concord,704-701-2140,steve@cabarrusbrewing.com,http://www.cabarrusbrewing.com/,Beer,Piedmont,Cabarrus
51,Carolina Brewing Company,140 Thomas Mill Rd,Holly Springs,919-557-2337,mark@carolinabrew.com,http://carolinabrew.com/,Beer,Piedmont,Wake
52,Bull City Ciderworks,599 S Railroad St,Lexington,336-749-3074,john.clowney@bullcityciderworks.com,http://www.bullcityciderworks.com/,Beer,Piedmont,Davidson
53,Fishing Creek Hard Cider,2535 Red Hill Church Rd,Whitakers,252-883-6891,fcciderco@gmail.com,http://fishingcreekcider.com/,Beer,Coastal Plains,Edgecombe
54,Foothills Brewing,3800 Kimwell Dr,Winston-Salem,336-354-4030,jamie@foothillsbrewing.com,http://www.foothillsbrewing.com/,Beer,Piedmont,Forsyth
55,Lonerider Brewing Company,8816 Gulf Ct Ste 100,Raleigh,919-423-5203,sumit@loneriderbeer.com,https://loneriderbeer.com/,Beer,Piedmont,Wake
56,Mill Whistle Brewing,1354 Lennoxville Rd,Beaufort,252-342-6929,tombackman@icloud.com,,Beer,Tidewater,Carteret
57,Mystery Brewing Company,437 Dimmocks Mill Rd Ste 41,Hillsborough,919-697-8379,erik@mysterybrewing.com,http://www.mysterybrewing.com/,Beer,Piedmont,Orange
58,Natty Greene's Brewing Co.,1918 W Lee St,Greensboro,336-856-6111,carlee@nattygreenes.com,http://www.nattygreenes.com/,Beer,Piedmont,Guilford
59,Railhouse Brewery,105 E South St,Aberdeen,919-830-9498,brian@railhousebrewery.com,https://www.railhousebrewery.com/,Beer,Piedmont,Moore
60,Raleigh Brewing Company,3709 Neil St,Raleigh,919-400-9086,ashley@raleighbrewingcompany.com,http://www.raleighbrewingcompany.com/,Beer,Piedmont,Wake
61,Regulator Brewing Company,421 St Mary's Rd,Hillsborough,421-308-9046,anna@regulatorbrewing.com,http://www.regulatorbrewing.com/,Beer,Piedmont,Orange
62,Top of the Hill Distillery,505-C W Franklin St,Chapel Hill,919-929-8676,scott@topodistillery.com,http://www.topodistillery.com/,Beer,Piedmont,Orange
63,Adams Vineyards,3390 John Adams Rd,Willow Spring,919-567-1010,marketing@adamsvineyards.com,https://www.adamsvineyards.com/,Wine,Piedmont,Wake
64,Ashevilla Wines,197 Kimberly Ave,Asheville,828-285-8957,george@ashevillawines.com,,Wine,Mountains,Buncombe
65,Bannerman Vineyard,2624 Stag Park Rd,Burgaw,910-259-5474,cbannerman@bellsouth.net,http://www.bannermanvineyard.com/,Wine,Tidewater,Pender
66,Belle Nicho Winery,526 Patton Valley Dr,Nebo,828-659-3168,bellenichowinery@hughes.net,http://www.bellenichowinery.com/,Wine,Mountains,McDowell
67,Benjamin Vineyards & Winery,6516 Whitney Rd,Graham,336-376-1080,benjaminwines@cs.com,http://www.benjaminvineyards.com/,Wine,Piedmont,Alamance
68,Cape Fear Vineyard & Winery,195 Vineyard Dr,Elizabethtown,844-846-3386,cfspresident@aol.com,https://www.capefearwinery.com/,Wine,Coastal Plains,Bladen
69,Cerminaro Vineyard,4399 Wilkesboro Rd,Boomer,828-754-9306,joe_cer@hotmail.com,http://www.cerminarovineyard.com/index.html,Wine,Mountains,Wilkes
70,Chatman Hill Winery,8245 Chapel Hill Rd,Cary,919-380-7135,marekw@chathamhillwine.com,http://www.chathamhillwine.com/,Wine,Piedmont,Wake
71,Chestnut Trail Vineyard,640 Cedar Grove Church Rd,Mocksville,336-655-4755,chestnuttrailvineyard@gmail.com,http://www.chestnuttrail.com/,Wine,Piedmont,Davie
72,Dennis Vineyards,24043 Endy Rd,Albemarle,704-982-6090,mail@dennisvineyards.com,http://dennisvineyards.com/,Wine,Mountains,Stanly
73,Chinqua Penn Vineyards,2138 Wentworth St,Reidsville,336-342-2198,cpwine@earthlink.net,,Wine,Piedmont,Rockingham
74,Desi's Dew Meadery,8902 Charlotte's Mtn Rd,Rougemont,919-732-2808,desidew@earthlink.net,,Beer,Piedmont,Durham
75,Duplin Winery,505 N Sycamore St,Rose Hill,800-774-9634,jennifer@duplinwinery.com,https://www.duplinwinery.com/,Wine,Coastal Plains,Duplin
76,Elkin Creek Vineyard,318 Elkin Creek Mill Rd,Elkin,336-526-5119,louis@elkincreek.com,https://www.elkincreekvineyard.com/,Wine,Mountains,Surry
77,Enoch Winery,3735 NC-50 S,Benson,919-201-0100,susan@enochengineers.com,,Wine,Coastal Plains,Johnston
78,Fair Game Beverage Company,220 Lorax Ln #15,Pittsboro,919-245-5434,chris@devilsdistillery.com,http://fairgamebeverage.com/,Spirits,Piedmont,Chatham
79,Gregory Vineyards,275 Bowling Spring Dr,Angier,919-894-7700,gregoryvineyards@gregoryvineyards.com,http://www.gregoryvineyards.com/,Wine,Coastal Plains,Harnett
80,Grove Winery & Vineyards,7360 Brooks Bridge Rd,Gibsonville,336-584-4060,info@grovewinery.com,http://www.grovewinery.com/,Wine,Piedmont,Alamance
81,Honeygirl Meadery,105 Hood St #6,Durham,919-399-3056,honeygirlmeadery@gmail.com,http://honeygirlmeadery.com/,Wine,Piedmont,Durham
82,Sanctuary Vineyards,7005 Caratoke Hwy,Jarvisburg,252-491-2387,john@sanctuaryvineyards.com,http://sanctuaryvineyards.com/,Wine,Tidewater,Currituck
83,Shadow Springs Vineyard,5543 Crater Rd,Hamptonville,336-468-5000,chuck@shadowspringsvineyard.com,https://www.shadowspringsvineyard.com/,Wine,Piedmont,Durham
84,Shelton Vineyards,286 Cabernet Ln,Dobson,336-366-4724,mpack@sheltonvineyards.com,https://sheltonvineyards.com/,Wine,Mountains,Surry
85,Mystic Farm & Distillery,1212 N Mineral Springs Rd,Durham,919-323-2777,blitz@barrierandbrewer.com,http://www.whatismystic.com/,Spirits,Piedmont,Durham
86,Boro Beverage,8400 Union Grove Church Rd,Chapel Hill,919-942-1110,carlyeerickson@gmail.com,,Other Beverages,Piedmont,Orange
87,Broad Branch Distillery,756 N Trade St,Winston-Salem,336-602-2824,donbroadbranch@gmail.com,http://broadbranchdistillery.com/,Spirits,Piedmont,Forsyth
88,Broadslab Distillery,4870 NC Hwy-50 S,Benson,919-291-0691,broadslabdistillery@gmail.com,http://www.broadslabdistillery.com/,Spirits,Piedmont,Johnston
89,Call Family Distillers,1611 Industrial Dr,Wilkesboro,336-262-4128,callfamilydistillers@gmail.com,http://www.callfamilydistillers.com/,Spirits,Mountains,Wilkes
90,Carolina Distillery,1001 West Ave NW,Lenoir,828-499-3095,carolinacraftspirits1@gmail.com,,Spirits,Mountains,Caldwell
91,Copper Barrel Distillery,508 Main St,North Wilkesboro,336-262-6500,info@copperbarrel.com,https://copperbarrel.com/,Spirits,Mountains,Wilkes
92,Covington Spirits,3647 Edgemont Dr,Raleigh,415-728-6953,info@covingtonvodka.com,http://www.covingtonvodka.com/,Spirits,Piedmont,Wake
93,Crude Bitters and Sodas,517 W Cabbarus St,Raleigh,919-391-8185,craig@crudebitters.com,https://www.crudebitters.com/,Spirits,Piedmont,Wake
94,Durham Distillery,711 Washington St,Durham,919-937-2121,melissa@durhamdistillery.com,https://durhamdistillery.com/,Spirits,Piedmont,Durham
95,Elevated Mountain Distilling Company,3732 Soco Rd,Maggie Valley,828-944-0766,dangel@elevatedmountain.com,http://www.elevatedmountain.com/,Spirits,Mountains,Haywood
96,Fainting Goat Spirits,321 W Wendover Ave,Greensboro,336-273-6221,shelley@kneadedenergy.com,http://faintinggoatspirits.com/,Spirits,Piedmont,Guilford
97,H&H Distillery,204 Charlotte Hwy Ste D,Asheville,828-338-9779,raeanna@hhdistillery.com,https://www.hhdistillery.com/,Spirits,Mountains,Buncombe
98,Howling Moon Distillery,42 Old Elk Mtn Rd,Asheville,828-208-1469,cody@howlingmoonshine.com,https://www.howlingmoonshine.com/,Spirits,Mountains,Buncombe
99,Lassiter Distilling Company,319 N First Ave,Knightdale,919-295-0111,gentry@lassiterdistilling.com,https://www.lassiterdistilling.com/,Spirits,Piedmont,Wake
100,Mayberry Spirits,461 N South St,Mount Airy,336-719-6860,vann@mayberryspirits.com,http://www.mayberryspirits.com/,Spirits,Mountains,Surry
101,Muddy River Distillery,1500 River Dr Ste 100,Belmont,704-80-8389,muddyriverdistillery@gmail.com,http://www.muddyriverdistillery.com/,Spirits,Piedmont,Gaston
102,Oaklee Distilling Co.,3931 Wendell Blvd,Wendell,919-602-0881,oakleedistilling@gmail.com,http://www.oakleedistilling.com/,Spirits,Piedmont,Wake
103,Outer Banks Distilling,510 Budleigh St,Manteo,252-423-3011,scott@outerbanksdistilling.com,http://outerbanksdistilling.com/,Spirits,Tidewater,Dare
104,Alimentaire Wholesome Breads,194 Glendale Dr,Youngsville,919-671-2383,steve@alimentairebakery.com,http://www.alimentairebakery.com/,Bakery,Piedmont,Franklin
105,"Annie's Bakery, Inc.",128 Bingham Rd,Asheville,828-505-8350,teri@anniesbread.com,,Bakery,Mountains,Buncombe
106,Atkinson Milling Co.,95 Atkinson Mill Rd,Selma,919-965-3547,info@atkinsonmilling.com,http://atkinsonmilling.com/,Bakery,Coastal Plains,Johnston
107,Box Turtle Bakery,121 Circadian Way,Chapel Hill,919-357-6034,abraham@boxturtlebakery.com,https://www.boxturtlebakery.com/index.html,Bakery,Piedmont,Orange
108,Cardais Gourmet,158 Fairfiled Rd,Mount Gilead,910-439-5008,wendy@cardaisgourmet.com,,Sweets,Piedmont,Montgomery
109,Bama Boy Beef Jerky,5691 Beaver Creek Rd,New Hill,919-349-5139,bamaboybeefjerky@gmail.com,,Snacks,Piedmont,Chatham
110,Birdbrain Ostrich Ranch,6691 Little Mountain Rd,Sherrills Ford,704-634-2915,bor@charter.net,,Meat,Piedmont,Catawba
111,Hawaiian Dave's Tropical Treats,607 Ellis Rd #56,Durham,919-698-8832,dave@hawaiiandaves.com,http://www.hawaiiandaves.com/,Snacks,Piedmont,Durham
112,Two Brother's Jerky,150 Oakland Ave,Durham,828-243-7332,paul@brockmeece.com,https://www.twobrothersjerky.com/,Snacks,Piedmont,Durham
113,Anders Natural Soap Co,1943 Evans Rd,Cary,919-233-0905,anderssoap1@earthlink.net,http://www.andersnaturalsoap.com/,Health & Beauty,Piedmont,Wake
114,4 Fosters Candle Company,365 Marlowe Dr,Youngsville,919-810-7735,4fosterscandles@gmail.com,https://4fosterscandleco.com/,Home,Piedmont,Franklin
115,Kerr Lake Candles,12 Vine St,Franklinton,919-702-4814,info@kerrlakecandles.com,https://kerrlakecandles.com/,Home,Piedmont,Franklin
116,Miss Debbie's Speciality Apples,166 Josie Dr,Benson,919-464-1502,specialtyapples@aol.com,https://www.specialtyapples.com/,Sweets,Coastal Plains,Johnston
117,Pink Lady Designs,8509 Babble Ln,Raleigh,919-271-0616,pldcandles@gmail.com,http://www.pldcandles.com/,Home,Piedmont,Wake
118,The Strawberry Patch,677 N NC Hwy 11,Pink Hill,252-568-3739,smithhd711@hotmail.com,,Flowers,Coastal Plains,Duplin
119,Moondance Soaps & More,6013 Old Horseman Trl,Raleigh,919-870-8063,rachel@moondancesoaps.com,http://www.moondancesoaps.com/,Health & Beauty,Piedmont,Wake
120,Four Legs Barking,2011 Shannon Dr,Sanford,949-244-0383,kate@fourlegsbarking.com,https://fourlegsbarking.com/,Pets,Piedmont,Lee
121,Warhorse Solutions,2212 Bill Collins Rd,Columbus,828-817-0350,tawana@warhorsesolutions.com,https://www.warhorsesolutions.com/,Home,Mountains,Polk
122,Happy Hills Alpaca Farm,708 Winding Brook Rd,Monroe,802-683-7433,happyhillsalpaca@gmail.com,http://www.happyhillsalpacafarm.com/index.html,Textiles,Piedmont,Union
123,Herbabless,2016 Chalk Rd,Wake Forest,631-334-9800,herbabless@hotmail.com,http://herbabless.com/,Health & Beauty,Piedmont,Wake
124,Yellow Branch Farm & Pottery,136 Yellow Branch Cir,Robbinsville,828-479-6710,mail@yellowbranch.com,http://www.yellowbranch.com/,Pottery,Mountains,Graham
125,All Good Naturals,740 SE Greenville Blvd Ste 400,Greenville,252-695-5443,islandtimehotsauce@gmail.com,https://www.islandtimesauce.com/,Condiments,Coastal Plains,Pitt
126,5th Sun Specialties,1465 Sand Hill Rd Ste 1010,Candler,88-901-4432,sales@5thsunspecialties.com,,Specialty Foods,Mountains,Buncombe
127,Aut Sis' Salsa,102 Good Hope Dr,Walnut Cove,336-413-5777,tinbeater@centurylink.net,,Condiments,Piedmont,Stokes
128,B&B Salsa,6524 Fairway Point Dr,Charlotte,704-904-0143,frankbeatty@carolina.rr.com,,Condiments,Piedmont,Mecklenburg
129,Big Ed's,4358 Old Walkertown Rd,Winston-Salem,336-767-2211,bbqqueen@triad.rr.com,,Condiments,Piedmont,Forsyth
130,"Cackalacky, Inc.",PO Box 4901,Chapel Hill,,page@cackalacky.com,https://www.cackalacky.com/,Condiments,Piedmont,Orange
